,configuration,time_taken
60,meta-llama/Llama-3.2-3B 1 500 16.0,"['[17.277076244354248, 29.799139261245728, 15.979554414749146, 29.66830325126648, 29.73714566230774, 8.075186252593994, 23.609181880950928, 2.3257274627685547]', '[30.199586868286133, 24.26741099357605, 7.498699426651001, 30.007420301437378, 11.682499170303345, 30.14015483856201, 11.744225978851318, 30.257622480392456]', '[10.81117057800293, 27.7943696975708, 7.529751300811768, 28.839057207107544, 29.059178829193115, 0.3743555545806885, 11.340757369995117, 28.815613269805908]']"
61,meta-llama/Llama-3.2-3B 1 500 4.0,"['[10.676500082015991, 12.585322856903076, 9.4416823387146, 38.09670042991638, 38.31016993522644, 12.302700757980347, 37.816906690597534, 37.955507040023804]', '[37.445708990097046, 14.435119152069092, 9.258636236190796, 37.19109916687012, 29.468793630599976, 19.426955938339233, 31.327476024627686, 31.94697117805481]', '[25.856351375579834, 23.588495016098022, 17.89153218269348, 33.67355418205261, 27.561420917510986, 35.38214921951294, 8.312966585159302, 11.62834644317627]']"
62,meta-llama/Llama-3.2-3B 1 500 8.0,"['[84.85231256484985, 27.951603174209595, 19.981478452682495, 82.01547074317932, 33.602234840393066, 42.072691440582275, 33.71826887130737, 24.93707799911499]', '[16.084535837173462, 33.41045022010803, 37.425949811935425, 85.13914942741394, 32.91558361053467, 86.70520496368408, 87.06769061088562, 53.608232736587524]', '[82.32192015647888, 80.87687039375305, 80.96700358390808, 82.52751350402832, 78.48424339294434, 21.56633949279785, 31.637804985046387, 30.953094482421875]']"
63,meta-llama/Llama-3.2-3B 4 100 16.0,"['[6.51542067527771, 6.450956583023071]', '[6.675725221633911, 6.647063255310059]', '[6.438931941986084, 6.45111870765686]']"
64,meta-llama/Llama-3.2-3B 4 100 4.0,"['[11.395149946212769, 11.377540111541748]', '[11.729732275009155, 11.622244834899902]', '[11.134776830673218, 11.14770245552063]']"
65,meta-llama/Llama-3.2-3B 4 100 8.0,"['[19.260007619857788, 19.9782931804657]', '[19.156397342681885, 19.81363344192505]', '[18.064517498016357, 18.711464643478394]']"
66,meta-llama/Llama-3.2-3B 4 250 16.0,"['[16.34413504600525, 16.301036596298218]', '[14.43020224571228, 16.75481867790222]', '[16.057743072509766, 16.104999780654907]']"
67,meta-llama/Llama-3.2-3B 4 250 4.0,"['[28.33997631072998, 28.415602207183838]', '[29.73103165626526, 29.50449824333191]', '[27.946732997894287, 27.80176091194153]']"
68,meta-llama/Llama-3.2-3B 4 250 8.0,"['[48.48764371871948, 48.285269021987915]', '[48.25620412826538, 48.76080393791199]', '[46.31483292579651, 46.19253873825073]']"
69,meta-llama/Llama-3.2-3B 4 500 16.0,"['[33.35629105567932, 32.056575298309326]', '[33.748454570770264, 33.94165301322937]', '[32.41720938682556, 32.34044361114502]']"
70,meta-llama/Llama-3.2-3B 4 500 4.0,"['[60.571409463882446, 60.73646593093872]', '[59.12925720214844, 42.42962956428528]', '[56.07026553153992, 56.235265493392944]']"
71,meta-llama/Llama-3.2-3B 4 500 8.0,"['[98.95209956169128, 99.41129326820374]', '[98.62358498573303, 46.616719245910645]', '[93.84107065200806, 93.77671074867249]']"
72,meta-llama/Llama-3.2-3B 8 100 16.0,"['[6.760675668716431]', '[6.833034038543701]', '[7.003237247467041]']"
73,meta-llama/Llama-3.2-3B 8 100 4.0,"['[11.496881008148193]', '[12.024605512619019]', '[11.467402935028076]']"
74,meta-llama/Llama-3.2-3B 8 100 8.0,"['[20.05459713935852]', '[20.025123596191406]', '[18.89684796333313]']"
75,meta-llama/Llama-3.2-3B 8 250 16.0,"['[17.036053895950317]', '[17.255304098129272]', '[16.550200700759888]']"
76,meta-llama/Llama-3.2-3B 8 250 4.0,"['[29.387259006500244]', '[30.186182022094727]', '[28.984630823135376]']"
77,meta-llama/Llama-3.2-3B 8 250 8.0,"['[51.74972748756409]', '[51.59978437423706]', '[48.23176145553589]']"
78,meta-llama/Llama-3.2-3B 8 500 16.0,"['[35.03192853927612]', '[35.54413461685181]', '[34.071667194366455]']"
79,meta-llama/Llama-3.2-3B 8 500 4.0,"['[59.466933727264404]', '[61.306955099105835]', '[58.08888483047485]']"
80,meta-llama/Llama-3.2-3B 8 500 8.0,"['[103.81281924247742]', '[103.72190022468567]', '[97.29747486114502]']"
